@relation Features4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToNominal-R41-42-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute RMS_l numeric
@attribute RMS_r numeric
@attribute Std_dev_l numeric
@attribute Std_dev_r numeric
@attribute COR numeric
@attribute mean_dist_pks_l numeric
@attribute mean_val_pks_l numeric
@attribute no_of_pks_l numeric
@attribute mean_dist_pks_r numeric
@attribute mean_val_pks_r numeric
@attribute no_of_pks_r numeric
@attribute RMS_pks_l numeric
@attribute RMS_pks_r numeric
@attribute mean_dist_bot_l numeric
@attribute mean_val_bot_l numeric
@attribute no_of_bot_l numeric
@attribute mean_dist_bot_r numeric
@attribute mean_val_bot_r numeric
@attribute no_of_bot_r numeric
@attribute RMS_bot_l numeric
@attribute RMS_bot_r numeric
@attribute Change_l numeric
@attribute Change_r numeric
@attribute RMS_FFT_l numeric
@attribute RMS_FFT_r numeric
@attribute Var_FFT_l numeric
@attribute Var_FFT_r numeric
@attribute Max_FFT_l numeric
@attribute Max_FFT_r numeric
@attribute Min_FFT_l numeric
@attribute Min_FFT_r numeric
@attribute Max_powerL numeric
@attribute Max_powerR numeric
@attribute RMS_PSD_l numeric
@attribute RMS_PSD_r numeric
@attribute Age numeric
@attribute Height numeric
@attribute Weight numeric
@attribute Gender {f,m}
@attribute Gaitspeed numeric
@attribute State {1,2}
@attribute Types {1,2,3,4}

@data
0.569338,0.371877,0.807688,0.579398,0.107704,0.454968,0.883773,0.452055,0.493173,0.760878,0.411765,0.759593,0.33113,0.539456,0.759726,0.36,0.38457,0.67812,0.5,0.715584,0.677785,0.399574,0.338232,0.409712,0.279765,0.303775,0.173784,0.285715,0.24506,0.773192,0.698238,0.039013,0.107296,0.099008,0.096668,0.766667,0.321429,0.337185,f,0.388889,2,3
0.733305,0.211539,0.478642,0.585978,0.318354,0.317772,0.295691,0.589041,0.346066,0.988648,0.558824,0.016912,0.643751,0.343014,0.987004,0.56,0.309651,0.384685,0.597222,0.981265,0.371228,0.937979,0.005267,0.745106,0.106541,0.66188,0.056478,0.387166,0.209527,0.220984,0.975081,0.622539,0.013186,0.619341,0.013866,1,0.428571,0.550015,m,0.333333,2,4
0.757482,0.507139,0.508132,0.523778,0.170034,0.869559,0.407168,0.09589,0.894018,0.650215,0.073529,0.068271,0.231074,0.702448,0.815955,0.213333,0.786714,0.790138,0.152778,0.820589,0.784564,0.759461,0.484283,0.715358,0.42756,0.626147,0.29882,0.459358,0.352982,0.222204,0.522318,0.620684,0.253161,0.65455,0.264229,0.533333,0.375,0.489206,f,0.777778,1,1
0.074552,0.285109,0.374222,0.417639,0.178895,0.549234,0.442228,0.356164,0.554454,0.533775,0.352941,0.072817,0.126266,0.538543,0.33472,0.36,0.491212,0.446055,0.402778,0.32767,0.531638,0.447927,0.400222,0.192996,0.250758,0.1248,0.151953,0.142848,0.191388,0.724702,0.688686,0.069676,0.113849,0.070526,0.100572,0.833333,0.232143,0.27592,f,0.361111,2,2
0.740152,0.4158,0.769932,0.550584,0.118939,0.519063,0.566209,0.383562,0.833713,0.736695,0.117647,0.64147,0.337511,0.870306,0.813866,0.093333,0.77331,0.678699,0.166667,0.858547,0.732727,0.649331,0.357849,0.576942,0.336908,0.470017,0.219408,0.311908,0.22182,0.479227,0.628873,0.285697,0.158452,0.315022,0.147985,0.45,0.553571,0.352387,f,0.666667,2,3
0.693811,0.684236,0.886908,0.8631,0.091699,0.006605,0.907938,1,0,0.881975,1,0.759346,0.504532,0.05276,0.912473,0.92,0,1,1,0.891389,1,0.474295,0.407147,0.407643,0.477078,0.30185,0.345876,0.435059,0.479887,0.728696,0.530572,0.127026,0.245128,0.226352,0.256681,0.9,0.267857,0.033141,f,0.277778,2,4
0.772278,0,0.407994,0.242302,0.262853,0.884719,0.333901,0.082192,0.962939,0.729172,0.029412,0.322387,0.365989,0.81861,0.773351,0.133333,0.83378,0,0.111111,0.738122,0,0.784166,0.014573,0.819488,0,0.754656,0,0.349015,0.2467,0.147175,0.917623,0.739461,0,0.738603,0,0.45,0.660714,0.626026,f,0.777778,1,1
0.425695,0.922945,0.447311,0.407864,0.604333,0,0.557512,1,0.148244,0,0.808824,0.187357,1,0,0.563745,1,0.124218,0.712554,0.819444,0.491108,0.708171,0.505842,0.963773,0.553754,0.831493,0.445502,0.757794,0.28746,0,0.451643,0.13476,0.316315,0.762381,0.319573,0.764505,0.266667,0.232143,0.510337,m,0.361111,2,2
0.419085,0.553961,0.697736,0.533387,0.236648,0.744671,0.930051,0.191781,0.754714,0.567322,0.176471,0.840746,0.365681,0.669758,0.536284,0.24,0.802949,0.864434,0.138889,0.518286,0.870303,0.234388,0.588736,0.287625,0.485518,0.197848,0.354147,0.231377,0.08904,0.794362,0.482924,0.026868,0.293122,0.082842,0.280649,0.266667,0.767857,0.671633,m,1,2,3
0.140183,0.464567,0.558567,0.618121,0.320789,0.79946,0.916943,0.150685,0.801365,0.667975,0.147059,0.834185,0.283169,0.900258,0.128975,0.066667,0.734584,0.808124,0.194444,0.122974,0.842392,0,0.479352,0,0.325966,0,0.210418,0.258898,0.155411,1,0.617663,0.121712,0.167496,0.122052,0.185455,0.916667,0.625,0.762846,m,0.388889,2,4
0.71419,0.461273,0.878618,0.625794,0.097225,0.70054,0.803724,0.219178,0.848179,0.686735,0.102941,0.821117,0.200634,0.802646,0.841712,0.146667,0.739648,0.726551,0.180556,0.860615,0.766796,0.503362,0.422385,0.548347,0.377542,0.439848,0.253953,0.592406,0.133823,0.677929,0.626217,0.119763,0.160575,0.236562,0.160482,0.166667,0.428571,0.276376,f,0.555556,1,1
0.686463,0.372809,0.369998,0.793051,0.211611,0.420895,0.146109,0.479452,0.453511,0.920754,0.455882,0.011733,0.5436,0.455527,0.846215,0.44,0.396038,0.691545,0.5,0.810942,0.6817,0.956267,0.217426,0.755015,0.245472,0.67398,0.148055,0.302796,0.468649,0.188433,0.945225,0.672972,0.035114,0.670409,0.055153,0.383333,0.321429,0.427638,m,0.166667,2,2
0.472719,0.476382,0.642678,0.598196,0.115056,0.761633,0.700517,0.178082,0.700423,0.607304,0.220588,0.495548,0.352629,0.854037,0.716213,0.106667,0.704945,0.731801,0.208333,0.695854,0.751354,0.499036,0.488539,0.511463,0.437553,0.402005,0.308104,0.883122,0.008979,0.619985,0.592779,0.220321,0.188346,0.286927,0.208545,0.35,0.464286,0.276376,f,0.777778,2,3
0.440406,0.515925,0.626197,0.477294,0.308082,0.762534,0.640644,0.178082,0.811281,0.625382,0.132353,0.911704,0.276562,0.951954,0.597218,0.04,0.73235,0.763562,0.180556,0.560277,0.765462,0.468927,0.490443,0.43364,0.4771,0.326059,0.345869,0.477863,0.257488,0.636042,0.492669,0.135985,0.282989,0.16478,0.271938,0.55,0.767857,0.686835,m,0.611111,2,4
0.8248,0.539708,0.849427,0.850306,0,0.931552,0.768614,0.054795,0.920514,0.906686,0.058824,0.579111,0.532851,0.933708,0.939875,0.04,0.770331,0.84135,0.152778,0.924536,0.83671,0.58605,0.305759,0.776603,0.464988,0.700568,0.334153,0.143462,1,0.485303,0.700006,0.364261,0.168842,0.513512,0.211755,0.033333,0.517857,0.352387,f,0.777778,1,1
0.668771,0.553283,0.622665,0.447562,1,0.682378,0.562288,0.246575,0.700748,0.498005,0.220588,0.182693,0.109754,0.713091,0.889499,0.213333,0.648645,0.785007,0.263889,0.872258,0.779743,0.697205,0.603234,0.641368,0.513945,0.540601,0.382568,0.318957,0.198268,0.391392,0.44692,0.387656,0.33198,0.397571,0.321272,0.75,0.285714,0.620705,m,0.588889,2,2
0.548589,0.58117,0.663272,0.700087,0.197614,0.260432,0.760358,0.657534,0.323635,0.715055,0.588235,0.557589,0.243036,0.312757,0.887203,0.586667,0.287012,0.96502,0.625,0.87222,0.963897,0.560232,0.522487,0.476929,0.472143,0.367644,0.341061,0.331585,0.386071,0.558728,0.542167,0.204619,0.234038,0.217766,0.225588,0.85,0.767857,0.519611,m,0.388889,2,3
0.659075,0.357611,0.729684,0.711949,0.135906,0.421045,0.649412,0.465753,0.442783,0.837183,0.470588,0.336851,0.482394,0.451726,0.894741,0.453333,0.32961,0.58356,0.569444,0.905432,0.585978,0.640691,0.228612,0.573092,0.229452,0.46589,0.136471,0.37766,0.28523,0.518957,0.846359,0.243847,0.025773,0.263948,0.040503,0.733333,0.178571,0.200365,f,0.277778,2,4
0.792479,0.542561,0.557899,0.681071,0.059068,0.851096,0.383101,0.109589,0.922952,0.593597,0.044118,0,0.473668,0.835639,0.96009,0.12,0.765564,0.876719,0.166667,0.948798,0.872526,0.862056,0.57407,0.708407,0.389812,0.617912,0.264709,0.350808,0.122864,0.229848,0.571828,0.609116,0.206726,0.616458,0.208273,0.033333,0.375,0.352387,f,0.611111,1,1
0.708743,0.57088,0,0.196858,0.452641,0.2139,0,0.712329,0.248537,0.296507,0.676471,0.273628,0.184435,0.301353,0.59163,0.6,0.220882,0.779223,0.694444,0.503227,0.771274,0.904183,0.761221,0.852969,0.571785,0.798027,0.443009,0,0.101232,0.019061,0.350905,0.9642,0.44651,0.958719,0.43546,0.516667,0.464286,1,m,0.416667,2,2
0.717656,0.408955,0.822194,0.81721,0.053797,0.58586,0.647894,0.328767,0.883615,0.983722,0.073529,0.709688,0.639039,0.85282,0.893418,0.106667,0.809651,0.630875,0.125,0.868503,0.618641,0.64094,0.135901,0.632827,0.301747,0.531011,0.190941,0.395235,0.384292,0.576976,0.89358,0.187511,0.01017,0.240532,0.051353,0.55,0.428571,0.230769,f,0.555556,2,3
0.47904,0.536037,0.701409,0.492232,0.200876,0.208796,0.812473,0.726027,0.206437,0.512248,0.720588,0.604946,0,0.194922,0.818967,0.733333,0.201966,0.858055,0.708333,0.804537,0.852963,0.483783,0.62945,0.337822,0.466793,0.239819,0.335896,0.205522,0.212832,0.704792,0.48094,0.083414,0.295206,0.119008,0.283849,0.733333,0.464286,0.489206,m,0.222222,2,4
0.627128,0.59364,0.823239,1,0.03083,0.84224,0.915957,0.109589,0.938069,1,0.044118,0.899916,0.818045,0.89813,0.801455,0.066667,0.809205,0.896496,0.125,0.757683,0.893592,0.402473,0.259596,0.483772,0.395031,0.37437,0.26935,0.807372,0.310955,0.707414,0.771691,0.13439,0.090944,0.21942,0.132987,0,0.589286,0.245971,f,0.611111,1,1
0.522381,0.474419,0.715448,0.868441,0.187427,0.648154,0.690009,0.273973,0.902633,0.86167,0.073529,0.782183,0.80558,0.679489,0.609955,0.24,0.734138,0.57723,0.194444,0.669484,0.668294,0.442741,0.205794,0.410932,0.238502,0.304893,0.142972,0.465498,0.375307,0.667292,0.827614,0.125762,0.091066,0.204498,0.106464,0.266667,0.553571,0.854059,f,0.666667,2,3
0.485928,0.566616,0.407812,0.428879,0.217125,0.536926,0.463941,0.356164,0.685631,0.411298,0.235294,0.113879,0.423913,0.58066,0.618245,0.32,0.531874,0.648757,0.361111,0.599818,0.698776,0.602464,0.602379,0.552968,0.535784,0.44468,0.404962,0.152178,0.090025,0.368359,0.428115,0.416544,0.353162,0.406109,0.340447,0.616667,1,0.656431,m,0.333333,2,4
0.803009,0.577854,0.889825,0.857026,0.091444,0.162564,0.834874,0.780822,0.252601,0.79197,0.661765,0.638756,0.396736,0.190969,0.936484,0.733333,0.13524,0.933613,0.805556,0.920341,0.931264,0.538662,0.444881,0.601877,0.428912,0.496873,0.300092,0.401183,0.482335,0.570276,0.653805,0.193727,0.139112,0.278959,0.150429,0,0.464286,0.139556,f,0.5,1,1
0.190873,0.260409,0.432372,0.478927,0.20157,0.612279,0.530875,0.30137,0.605494,0.598277,0.308824,0.387168,0.369617,0.659571,0.47853,0.253333,0.626601,0.410078,0.277778,0.49967,0.505592,0.473162,0.330179,0.293117,0.213681,0.202321,0.125319,0.104322,0.150184,0.667177,0.760642,0.11119,0.068348,0.099949,0.051504,0.233333,0.660714,0.717239,f,0,2,3
0.325135,0.238605,0.694886,0.628735,0.268233,0.453467,0.997015,0.452055,0.454811,0.996849,0.455882,0.907197,0.655102,0.538087,0.544879,0.36,0.438785,0.508399,0.458333,0.473392,0.493395,0.193679,0.062384,0.273967,0.141163,0.186855,0.077403,0.313186,0.390129,0.886665,1,0.034336,0.013829,0.105936,0.029167,0.933333,0.767857,0.838857,m,0.5,2,4
0.704213,0.422869,0.905044,0.831036,0.111916,0.87121,0.978325,0.09589,0.845254,0.964327,0.102941,0.885931,0.607571,0.988445,0.90451,0.013333,0.633006,0.554905,0.277778,0.881862,0.598964,0.421349,0.112298,0.511763,0.261465,0.402273,0.159913,0.411516,0.362223,0.751174,0.883272,0.1057,0.047113,0.22087,0.078358,0.333333,0.303571,0.276376,f,0.611111,1,1
0.962497,0.557447,0.608332,0.444633,0.179893,0.451366,0.558772,0.452055,0.46814,0.482327,0.426471,0.288495,0.124972,0.442147,0.956915,0.453333,0.342866,0.873174,0.555556,0.964005,0.88212,0.739893,0.661133,0.867371,0.49959,0.816948,0.368114,0.083082,0.012683,0.129581,0.442131,0.768687,0.337317,0.763489,0.324003,0.833333,0.464286,0.79325,m,0,2,3
0.896595,0.450909,1,0.570124,0.086831,0.693185,0.985772,0.232877,0.837939,0.655142,0.117647,1,0.172689,0.766915,0.963857,0.173333,0.785225,0.810761,0.152778,0.953484,0.809568,0.451709,0.49096,0.733152,0.411928,0.647444,0.284517,0.596358,0.207249,0.626906,0.603144,0.143571,0.179532,0.260179,0.170649,0.15,0.375,0.534813,f,0.5,2,3
0.234088,0.228737,0.57373,0.510044,0.102459,0.601921,0.838602,0.315068,0.657185,0.83128,0.264706,0.721813,0.558777,0.693781,0.37706,0.226667,0.552279,0.29685,0.347222,0.38119,0.334037,0.201861,0.085776,0.236375,0.166123,0.157331,0.093258,0.146801,0.005331,0.84688,0.834068,0,0.031101,0,0.014807,0.566667,0.267857,0.185163,f,0.333333,2,3
0.249358,0.422742,0.5838,0.377853,0.216918,0.548184,0.91949,0.356164,0.689207,0.453509,0.235294,0.810703,0.007277,0.628098,0.457663,0.28,0.637176,0.739781,0.277778,0.380543,0.744516,0.194644,0.615504,0.163291,0.376273,0.103471,0.252834,0.27725,0.124426,0.842104,0.533795,0.002251,0.242022,0.051735,0.228519,0.65,0.375,0.261174,f,0.333333,2,3
0.653172,1,0.680016,0,0.703201,0.690483,0.652637,0.232877,0.722854,0.016232,0.205882,0.364285,0.708728,0.677665,0.705332,0.24,0.641495,0.808143,0.263889,0.764435,0.801245,0.525314,1,0.492552,1,0.383044,1,0.341962,0.131975,0.466036,0,0.300179,1,0.337759,1,0.216667,0,0.063545,f,0.444444,2,3
